"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","2.2","","","","1"
"2020","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","2.4","","","","1"
"2021","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","1.2","","","","1"
"2022","Bracebridge, Ontario","2011A00053544018","Rate","257","units","0","v733478","5","","F","","","1"
"2014","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","","F","","","1"
"2015","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","10.5","","","","1"
"2016","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","3.4","","","","1"
"2017","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","0.6","","","","1"
"2018","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","1.3","","","","1"
"2019","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","0.6","","","","1"
"2020","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","","F","","","1"
"2021","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","","F","","","1"
"2022","Brighton, Ontario","2011A00053514004","Rate","257","units","0","v53843497","126","0.8","","","","1"
"2014","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","1.9","","","","1"
"2015","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","","F","","","1"
"2016","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","0.0","","","","1"
"2017","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","1.9","","","","1"
"2018","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","0.0","","","","1"
"2019","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","1.9","","","","1"
"2020","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","0.0","","","","1"
"2021","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","1.9","","","","1"
"2022","Brock, Ontario","2011A00053518039","Rate","257","units","0","v53843498","127","","F","","","1"
"2014","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","4.4","","","","1"
"2015","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","3.4","","","","1"
"2016","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","3.8","","","","1"
"2017","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","2.6","","","","1"
"2018","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","3.5","","","","1"
"2019","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","3.7","","","","1"
"2020","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","2.1","","","","1"
"2021","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","2.3","","","","1"
"2022","Brockville, Ontario","2011S0504512","Rate","257","units","0","v733440","7","2.7","","","","1"
"2014","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","4.3","","","","1"
"2015","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","6.5","","","","1"
"2016","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","10.6","","","","1"
"2017","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","8.2","","","","1"
"2018","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","5.8","","","","1"
"2019","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","7.1","","","","1"
"2020","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","4.1","","","","1"
"2021","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","3.6","","","","1"
"2022","Brooks, Alberta","2011S0504806","Rate","257","units","0","v42136018","116","2.3","","","","1"
"2014","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","4.9","","","","1"
"2015","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","2.9","","","","1"
"2016","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","2.0","","","","1"
"2017","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","0.6","","","","1"
"2018","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","0.5","","","","1"
"2019","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","0.4","","","","1"
"2020","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","0.7","","","","1"
"2021","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","1.5","","","","1"
"2022","Campbell River, British Columbia","2011S0504944","Rate","257","units","0","v733451","8","1.5","","","","1"
"2014","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","3.0","","","","1"
"2015","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","10.1","","","","1"
"2016","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","8.2","","","","1"
"2017","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","0.3","","","","1"
"2018","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","3.1","","","","1"
"2019","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","4.2","","","","1"
"2020","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","","F","","","1"
"2021","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","0.0","","","","1"
"2022","Campbellton, New Brunswick/Quebec","2011S0504330","Rate","257","units","0","v733462","9","","F","","","1"
"2014","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","2.3","","","","1"
"2015","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","5.3","","","","1"
"2016","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","9.9","","","","1"
"2017","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","5.9","","","","1"
"2018","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","3.1","","","","1"
"2019","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","2.8","","","","1"
"2020","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","6.4","","","","1"
"2021","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","1.5","","","","1"
"2022","Camrose, Alberta","2011S0504833","Rate","257","units","0","v733473","10","0.8","","","","1"
"2014","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","","F","","","1"
"2015","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","","F","","","1"
"2016","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","","F","","","1"
"2017","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","","F","","","1"
"2018","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","","F","","","1"
"2019","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","5.0","","","","1"
"2020","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","0.5","","","","1"
"2021","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","3.2","","","","1"
"2022","Canmore, Alberta","2011S0504828","Rate","257","units","0","v20662173","102","0.2","","","","1"
"2014","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","2.7","","","","1"
"2015","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","0.2","","","","1"
"2016","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","0.6","","","","1"
"2017","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","1.9","","","","1"
"2018","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","1.8","","","","1"
"2019","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","1.2","","","","1"
"2020","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","0.0","","","","1"
"2021","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","0.9","","","","1"
"2022","Centre Wellington, Ontario","2011S0504531","Rate","257","units","0","v42136022","117","1.6","","","","1"
"2014","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2015","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2016","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2017","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2018","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2019","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2020","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2021","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2022","Chester, Nova Scotia","2011A00051206009","Rate","257","units","0","v53843499","128","","F","","","1"
"2014","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2015","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2016","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2017","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2018","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2019","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2020","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2021","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2022","Clearwater County, Alberta","2011A00054809002","Rate","257","units","0","v53843500","129","","F","","","1"
"2014","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","1.2","","","","1"
"2015","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","1.2","","","","1"
"2016","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","0.6","","","","1"
"2017","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","0.7","","","","1"
"2018","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","0.4","","","","1"
"2019","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","1.0","","","","1"
"2020","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","","F","","","1"
"2021","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","0.9","","","","1"
"2022","Cobourg, Ontario","2011S0504527","Rate","257","units","0","v733397","12","1.9","","","","1"
"2014","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","9.1","","","","1"
"2015","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","11.9","","","","1"
"2016","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","25.8","","","","1"
"2017","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","27.8","","","","1"
"2018","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","13.4","","","","1"
"2019","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","11.8","","","","1"
"2020","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","7.1","","","","1"
"2021","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","8.0","","","","1"
"2022","Cold Lake, Alberta","2011S0504845","Rate","257","units","0","v733413","29","6.2","","","","1"
"2014","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","0.2","","","","1"
"2015","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","4.9","","","","1"
"2016","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","0.6","","","","1"
"2017","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","1.4","","","","1"
"2018","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","0.8","","","","1"
"2019","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","3.1","","","","1"
"2020","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","3.0","","","","1"
"2021","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","1.5","","","","1"
"2022","Collingwood, Ontario","2011S0504567","Rate","257","units","0","v733398","13","2.8","","","","1"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","3.3","","","","1"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","1.5","","","","1"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","2.6","","","","1"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","3.9","","","","1"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","5.0","","","","1"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","2.8","","","","1"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","2.6","","","","1"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","0.2","","","","1"
"2022","Corner Brook, Newfoundland and Labrador","2011S0504015","Rate","257","units","0","v733399","14","1.3","","","","1"
"2014","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","3.9","","","","1"
"2015","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","5.9","","","","1"
"2016","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","8.2","","","","1"
"2017","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","4.8","","","","1"
"2018","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","4.5","","","","1"
"2019","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","2.6","","","","1"
"2020","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","1.9","","","","1"
"2021","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","1.6","","","","1"
"2022","Cowansville, Quebec","2011S0504437","Rate","257","units","0","v733401","16","0.7","","","","1"
"2014","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.4","","","","1"
"2015","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","2.0","","","","1"
"2016","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.8","","","","1"
"2017","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.2","","","","1"
"2018","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.6","","","","1"
"2019","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.0","","","","1"
"2020","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.8","","","","1"
"2021","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.1","","","","1"
"2022","Cranbrook, British Columbia","2011S0504905","Rate","257","units","0","v733402","17","1.3","","","","1"
"2014","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","5.4","","","","1"
"2015","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","14.9","","","","1"
"2016","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","18.9","","","","1"
"2017","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","11.8","","","","1"
"2018","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","8.8","","","","1"
"2019","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","17.7","","","","1"
"2020","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","12.3","","","","1"
"2021","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","9.6","","","","1"
"2022","Dawson Creek, British Columbia","2011S0504975","Rate","257","units","0","v733403","18","5.9","","","","1"
"2014","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","6.8","","","","1"
"2015","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","2.8","","","","1"
"2016","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","9.7","","","","1"
"2017","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","5.8","","","","1"
"2018","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","7.6","","","","1"
"2019","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","8.2","","","","1"
"2020","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","5.6","","","","1"
"2021","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","5.8","","","","1"
"2022","Dolbeau-Mistassini, Quebec","2011S0504411","Rate","257","units","0","v733404","19","1.1","","","","1"
"2014","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","4.7","","","","1"
"2015","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","3.8","","","","1"
"2016","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","3.4","","","","1"
"2017","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","2.9","","","","1"
"2018","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","0.1","","","","1"
"2019","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","1.0","","","","1"
"2020","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","1.9","","","","1"
"2021","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","0.6","","","","1"
"2022","Duncan, British Columbia","2011S0504937","Rate","257","units","0","v733405","20","0.3","","","","1"
"2014","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","4.4","","","","1"
"2015","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","2.4","","","","1"
"2016","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","2.6","","","","1"
"2017","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","2.4","","","","1"
"2018","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","1.2","","","","1"
"2019","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","1.0","","","","1"
"2020","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","0.0","","","","1"
"2021","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","0.0","","","","1"
"2022","East Hants, Nova Scotia","2011A00051208008","Rate","257","units","0","v53843501","130","0.0","","","","1"
"2014","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","","F","","","1"
"2015","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","9.8","","","","1"
"2016","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","8.2","","","","1"
"2017","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","7.0","","","","1"
"2018","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","6.5","","","","1"
"2019","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","6.0","","","","1"
"2020","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","3.9","","","","1"
"2021","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","1.1","","","","1"
"2022","Edmundston, New Brunswick","2011S0504335","Rate","257","units","0","v733406","22","1.6","","","","1"
"2014","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","17.4","","","","1"
"2015","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","18.5","","","","1"
"2016","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","13.5","","","","1"
"2017","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","9.6","","","","1"
"2018","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","4.5","","","","1"
"2019","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","1.3","","","","1"
"2020","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","1.6","","","","1"
"2021","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","","F","","","1"
"2022","Elliot Lake, Ontario","2011S0504582","Rate","257","units","0","v733408","23","2.2","","","","1"
"2014","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2015","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2016","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2017","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2018","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2019","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2020","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2021","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
"2022","Erin, Ontario","2011A00053523017","Rate","257","units","0","v53843490","131","","F","","","1"
