"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","10.1","C","","","1"
"2017","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","8.8","C","","","1"
"2018","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","7.8","C","","","1"
"2019","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","7.0","D","","","1"
"2020","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","3.0","D","","","1"
"2021","Canada","2016A000011124","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132252","1.20.6.2","4.2","D","","","1"
"2015","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","39.2","C","","","1"
"2016","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","41.7","C","","","1"
"2017","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","33.1","C","","","1"
"2018","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","31.0","C","","","1"
"2019","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","28.6","D","","","1"
"2020","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","16.9","D","","","1"
"2021","Canada","2016A000011124","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132255","1.21.6.2","18.4","D","","","1"
"2015","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","32.8","B","","","1"
"2016","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","30.8","B","","","1"
"2017","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","28.8","B","","","1"
"2018","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","29.1","B","","","1"
"2019","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","26.9","B","","","1"
"2020","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","20.9","B","","","1"
"2021","Canada","2016A000011124","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132270","1.26.6.2","21.9","B","","","1"
"2015","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","16.9","C","","","1"
"2016","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","16.3","C","","","1"
"2017","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","13.0","C","","","1"
"2018","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","13.7","C","","","1"
"2019","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","12.0","C","","","1"
"2020","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","7.4","C","","","1"
"2021","Canada","2016A000011124","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132279","1.29.6.2","13.0","C","","","1"
"2015","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","38.9","B","","","1"
"2016","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","36.4","B","","","1"
"2017","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","35.5","B","","","1"
"2018","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","35.8","B","","","1"
"2019","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","33.8","B","","","1"
"2020","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","27.3","B","","","1"
"2021","Canada","2016A000011124","Non-elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132288","1.32.6.2","26.2","B","","","1"
"2015","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","15.7","B","","","1"
"2016","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","14.5","B","","","1"
"2017","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","13.5","B","","","1"
"2018","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","12.3","B","","","1"
"2019","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","11.2","C","","","1"
"2020","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","7.5","C","","","1"
"2021","Atlantic provinces","2016A00011","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132297","2.1.6.2","7.8","C","","","1"
"2015","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","19.0","D","","","1"
"2016","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","17.2","C","","","1"
"2017","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","16.5","C","","","1"
"2018","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","13.4","D","","","1"
"2019","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","12.6","D","","","1"
"2020","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","6.3","D","","","1"
"2021","Atlantic provinces","2016A00011","Persons under 18 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132300","2.2.6.2","7.1","D","","","1"
"2015","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","16.3","B","","","1"
"2016","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","15.6","B","","","1"
"2017","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","14.7","B","","","1"
"2018","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","13.7","B","","","1"
"2019","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","12.2","C","","","1"
"2020","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","9.0","C","","","1"
"2021","Atlantic provinces","2016A00011","Persons 18 to 64 years","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132303","2.3.6.2","8.4","C","","","1"
"2015","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","10.5","C","","","1"
"2016","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","8.6","C","","","1"
"2017","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","7.0","C","","","1"
"2018","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","7.0","C","","","1"
"2019","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","6.9","D","","","1"
"2020","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","4.4","D","","","1"
"2021","Atlantic provinces","2016A00011","Persons 65 years and over","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132306","2.4.6.2","6.8","D","","","1"
"2015","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","11.3","C","","","1"
"2016","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","10.5","C","","","1"
"2017","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","9.6","C","","","1"
"2018","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","8.3","C","","","1"
"2019","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","7.6","C","","","1"
"2020","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","4.5","C","","","1"
"2021","Atlantic provinces","2016A00011","Persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132333","2.13.6.2","4.5","C","","","1"
"2015","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","4.7","E","","","1"
"2016","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","4.0","D","","","1"
"2017","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","3.1","D","","","1"
"2018","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","2.6","D","","","1"
"2019","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","3.1","E","","","1"
"2020","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","1.1","E","","","1"
"2021","Atlantic provinces","2016A00011","Elderly persons in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132342","2.16.6.2","2.1","E","","","1"
"2015","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","18.9","D","","","1"
"2016","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","17.1","C","","","1"
"2017","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","16.0","C","","","1"
"2018","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","13.2","D","","","1"
"2019","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","12.0","D","","","1"
"2020","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","6.2","D","","","1"
"2021","Atlantic provinces","2016A00011","Persons under 18 years in economic families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132351","2.19.6.2","6.8","D","","","1"
"2015","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","12.7","D","","","1"
"2016","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","8.5","D","","","1"
"2017","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","9.8","D","","","1"
"2018","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","7.6","D","","","1"
"2019","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","8.5","E","","","1"
"2020","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","3.1","E","","","1"
"2021","Atlantic provinces","2016A00011","Persons under 18 years in couple families with children","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132354","2.20.6.2","2.4","E","","","1"
"2015","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","50.5","D","","","1"
"2016","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","48.3","C","","","1"
"2017","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","44.1","C","","","1"
"2018","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","37.2","D","","","1"
"2019","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","31.2","D","","","1"
"2020","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","20.5","E","","","1"
"2021","Atlantic provinces","2016A00011","Persons under 18 years in female lone-parent families","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132357","2.21.6.2","33.3","D","","","1"
"2015","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","38.3","B","","","1"
"2016","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","34.7","B","","","1"
"2017","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","32.9","B","","","1"
"2018","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","31.8","B","","","1"
"2019","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","28.2","C","","","1"
"2020","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","21.6","C","","","1"
"2021","Atlantic provinces","2016A00011","Persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132372","2.26.6.2","23.0","C","","","1"
"2015","Atlantic provinces","2016A00011","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132381","2.29.6.2","26.5","C","","","1"
"2016","Atlantic provinces","2016A00011","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132381","2.29.6.2","22.1","D","","","1"
"2017","Atlantic provinces","2016A00011","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132381","2.29.6.2","17.3","C","","","1"
"2018","Atlantic provinces","2016A00011","Elderly persons not in an economic family","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132381","2.29.6.2","18.3","C","","","1"
